Symbol,Name,ISIN,Exchange
532398.BO,Usha Martin Education & Solutions Ltd,INE240C01028,BSE
532419.BO,Smartlink Holdings Ltd,INE178C01020,BSE
532467.BO,Hazoor Multi Projects Ltd,INE550F01049,BSE
532481.BO,Noida Toll Bridge Company Ltd,INE781B01015,BSE
532521.BO,Palred Technologies Ltd,INE218G01033,BSE
532604.BO,S.A.L. Steel Ltd,INE658G01014,BSE
532613.BO,VIP Clothing Ltd,INE450G01024,BSE
532637.BO,Mangalam Drugs & Organics Ltd,INE584F01014,BSE
532640.BO,Cyber Media India Ltd,INE278G01037,BSE
532649.BO,Nectar Lifesciences Ltd,INE023H01027,BSE
532654.BO,Mcleod Russel India Ltd,INE942G01012,BSE
532660.BO,Vivimed Labs Ltd,INE526G01021,BSE
532666.BO,FCS Software Solutions Ltd,INE512B01022,BSE
532708.BO,GVK Power & Infrastructure Ltd,INE251H01024,BSE
532712.BO,Reliance Communications Ltd,INE330H01018,BSE
532713.BO,Sakuma Exports Ltd,INE190H01024,BSE
532717.BO,Indo Tech Transformers Ltd,INE332H01014,BSE
532721.BO,VISA Chrome Ltd,INE286H01012,BSE
532740.BO,Lokesh Machines Ltd,INE397H01017,BSE
532748.BO,Prime Focus Ltd,INE367G01038,BSE
532767.BO,Gayatri Projects Ltd,INE336H01023,BSE
532774.BO,Inspirisys Solutions Ltd,INE020G01017,BSE
532776.BO,Shivam Autotech Ltd,INE637H01024,BSE
532780.BO,Parsvnath Developers Ltd,INE561H01026,BSE
532797.BO,Autoline Industries Ltd,INE718H01014,BSE
532839.BO,Dish TV India Ltd,INE836F01026,BSE
532847.BO,Hilton Metal Forging Ltd,INE788H01017,BSE
532890.BO,Take Solutions Ltd,INE142I01023,BSE
532894.BO,Indowind Energy Ltd,INE227G01018,BSE
532895.BO,Nagreeka Capital & Infrastructure Ltd,INE245I01016,BSE
532930.BO,BGR Energy Systems Ltd,INE661I01014,BSE
532941.BO,Cords Cable Industries Ltd,INE792I01017,BSE
532951.BO,GSS Infotech Ltd,INE871H01011,BSE
532976.BO,Jai Balaji Industries Ltd,INE091G01026,BSE
532985.BO,Kotak S&P BSE Sensex ETF,INF174KA1JD7,BSE
532986.BO,Niraj Cement Structurals Ltd,INE368I01016,BSE
532993.BO,Sejal Glass Ltd,INE955I01044,BSE
533029.BO,Alkali Metals Ltd,INE773I01017,BSE
533107.BO,Swan Defence And Heavy Industries Ltd,INE542F01020,BSE
533156.BO,Vascon Engineers Ltd,INE893I01013,BSE
533160.BO,Valor Estate Ltd,INE879I01012,BSE
533193.BO,Kirloskar Electric Company Ltd,INE134B01017,BSE
533210.BO,Kriti Nutrients Ltd,INE798K01010,BSE
533218.BO,Emami Realty Ltd,INE778K01012,BSE
533221.BO,Asian Hotels (West) Ltd,INE915K01010,BSE
533252.BO,Welspun Investments and Commercials Ltd,INE389K01018,BSE
533260.BO,CP Capital Ltd,INE521J01018,BSE
533296.BO,Future Market Networks Ltd,INE360L01017,BSE
533301.BO,Shekhawati Industries Ltd,INE268L01046,BSE
533520.BO,Indiabulls Ltd,INE126M01010,BSE
533543.BO,Brooks Laboratories Ltd,INE650L01011,BSE
533632.BO,Onelife Capital Advisors Ltd,INE912L01015,BSE
534312.BO,MT Educare Ltd,INE472M01018,BSE
534535.BO,String Metaverse Ltd,INE958L01034,BSE
534674.BO,Ducon Infratechnologies Ltd,INE741L01018,BSE
535276.BO,SBI Mutual Fund - SBI Sensex ETF,INF200K01VT2,BSE
535431.BO,GCM Securities Ltd,INE168O01026,BSE
535910.BO,Money Masters Leasing & Finance Ltd,INE340O01021,BSE
535916.BO,Alacrity Securities Ltd,INE030P01017,BSE
