Date,Portfolio_Value,Benchmark_Value
2023-05-31,50000.0,203.66000366210935
2023-06-30,50000.0,210.6100006103516
2023-07-31,52615.90479336656,217.5800018310547
2023-08-31,52248.34894652259,212.7700042724609
2023-09-30,51801.51125419761,216.75
2023-10-31,51934.51278836064,210.97999572753903
2023-11-30,57041.02775144481,222.1300048828125
2023-12-31,60925.685735147825,239.6499938964844
2024-01-31,65222.559511850886,240.25999450683597
2024-02-29,68066.1311166246,243.25
2024-03-31,68027.70140368432,246.9600067138672
2024-04-30,69297.87097426219,250.05999755859372
2024-05-31,76833.05757153907,251.1499938964844
2024-06-30,80368.14107557326,267.4800109863281
2024-07-31,81464.03716339057,277.75
2024-08-31,83385.8602688027,281.0799865722656
2024-09-30,86454.14576073314,288.3800048828125
2024-10-31,79886.87594014994,270.6400146484375
2024-11-30,80850.2207734427,269.8800048828125
2024-12-31,80440.33257616882,264.4700012207031
2025-01-31,76839.23949839684,263.0
2025-02-28,78034.48752050975,248.4499969482422
2025-03-31,81670.06709576692,263.2099914550781
2025-04-30,84504.1749241429,271.989990234375
2025-05-31,84889.59094442341,277.9700012207031
2025-06-30,86370.53737085956,286.510009765625
2025-07-31,83562.33463124423,279.260009765625
2025-08-31,83761.04946095974,276.0599975585937
2025-09-30,86166.16024561168,277.5199890136719
2025-10-31,88164.60210963516,291.0799865722656
2025-11-30,87766.87728289422,296.489990234375
2025-12-31,86157.40341703076,295.3099975585937
2026-01-31,87939.38519952686,286.7300109863281
2026-02-28,91564.1266194018,285.2900085449219
2026-03-31,85884.10052320064,253.44000244140625
2026-04-30,87692.52895203259,272.010009765625
2026-05-31,92255.70112645344,270.8299865722656
