Date,Top5_Stocks,Stocks_Sold,Stocks_Bought,Stocks_Held,Portfolio_Value
2025-02-28,"AXISBANK.NS, BAJAJFINSV.NS, BAJFINANCE.NS, INDIGO.NS, UPL.NS","MARUTI.NS, TATACONSUM.NS","AXISBANK.NS, INDIGO.NS","AXISBANK.NS, BAJAJFINSV.NS, BAJFINANCE.NS, INDIGO.NS, UPL.NS",75315.77549305763
2025-03-31,"ADANIGREEN.NS, BPCL.NS, GODREJCP.NS, HAL.NS, POWERGRID.NS","AXISBANK.NS, BAJAJFINSV.NS, BAJFINANCE.NS, INDIGO.NS, UPL.NS","ADANIGREEN.NS, BPCL.NS, GODREJCP.NS, HAL.NS, POWERGRID.NS","ADANIGREEN.NS, BPCL.NS, GODREJCP.NS, HAL.NS, POWERGRID.NS",78951.35502729457
2025-04-30,"BPCL.NS, INDUSINDBK.NS, SBILIFE.NS, TATACONSUM.NS, TITAN.NS","ADANIGREEN.NS, GODREJCP.NS, HAL.NS, POWERGRID.NS","INDUSINDBK.NS, SBILIFE.NS, TATACONSUM.NS, TITAN.NS","BPCL.NS, INDUSINDBK.NS, SBILIFE.NS, TATACONSUM.NS, TITAN.NS",81785.46272326054
2025-05-31,"ADANIGREEN.NS, ADANIPORTS.NS, HEROMOTOCO.NS, TATASTEEL.NS, ZEEL.NS","BPCL.NS, INDUSINDBK.NS, SBILIFE.NS, TATACONSUM.NS, TITAN.NS","ADANIGREEN.NS, ADANIPORTS.NS, HEROMOTOCO.NS, TATASTEEL.NS, ZEEL.NS","ADANIGREEN.NS, ADANIPORTS.NS, HEROMOTOCO.NS, TATASTEEL.NS, ZEEL.NS",82170.87754094854
2025-06-30,"BHARTIARTL.NS, GRASIM.NS, INDIGO.NS, ULTRACEMCO.NS, ZEEL.NS","ADANIGREEN.NS, ADANIPORTS.NS, HEROMOTOCO.NS, TATASTEEL.NS","BHARTIARTL.NS, GRASIM.NS, INDIGO.NS, ULTRACEMCO.NS","BHARTIARTL.NS, GRASIM.NS, INDIGO.NS, ULTRACEMCO.NS, ZEEL.NS",83651.8251203776
2025-07-31,"APOLLOHOSP.NS, GODREJCP.NS, HINDUNILVR.NS, IPCALAB.NS, UPL.NS","BHARTIARTL.NS, GRASIM.NS, INDIGO.NS, ULTRACEMCO.NS, ZEEL.NS","APOLLOHOSP.NS, GODREJCP.NS, HINDUNILVR.NS, IPCALAB.NS, UPL.NS","APOLLOHOSP.NS, GODREJCP.NS, HINDUNILVR.NS, IPCALAB.NS, UPL.NS",80843.62238076227
2025-08-31,"BAJAJ-AUTO.NS, EICHERMOT.NS, HEROMOTOCO.NS, MARUTI.NS, TITAN.NS","APOLLOHOSP.NS, GODREJCP.NS, HINDUNILVR.NS, IPCALAB.NS, UPL.NS","BAJAJ-AUTO.NS, EICHERMOT.NS, HEROMOTOCO.NS, MARUTI.NS, TITAN.NS","BAJAJ-AUTO.NS, EICHERMOT.NS, HEROMOTOCO.NS, MARUTI.NS, TITAN.NS",81042.33721047778
2025-09-30,"ADANIENT.NS, ADANIGREEN.NS, BAJFINANCE.NS, EICHERMOT.NS, JSWSTEEL.NS","BAJAJ-AUTO.NS, HEROMOTOCO.NS, MARUTI.NS, TITAN.NS","ADANIENT.NS, ADANIGREEN.NS, BAJFINANCE.NS, JSWSTEEL.NS","ADANIENT.NS, ADANIGREEN.NS, BAJFINANCE.NS, EICHERMOT.NS, JSWSTEEL.NS",83447.44790460986
2025-10-31,"ADANIGREEN.NS, DIVISLAB.NS, HCLTECH.NS, NESTLEIND.NS, TITAN.NS","ADANIENT.NS, BAJFINANCE.NS, EICHERMOT.NS, JSWSTEEL.NS","DIVISLAB.NS, HCLTECH.NS, NESTLEIND.NS, TITAN.NS","ADANIGREEN.NS, DIVISLAB.NS, HCLTECH.NS, NESTLEIND.NS, TITAN.NS",85445.88976863332
2025-11-30,"ASIANPAINT.NS, BHARATFORG.NS, HEROMOTOCO.NS, IPCALAB.NS, SUNPHARMA.NS","ADANIGREEN.NS, DIVISLAB.NS, HCLTECH.NS, NESTLEIND.NS, TITAN.NS","ASIANPAINT.NS, BHARATFORG.NS, HEROMOTOCO.NS, IPCALAB.NS, SUNPHARMA.NS","ASIANPAINT.NS, BHARATFORG.NS, HEROMOTOCO.NS, IPCALAB.NS, SUNPHARMA.NS",85048.16494189238
2025-12-31,"BPCL.NS, COALINDIA.NS, GODREJCP.NS, TATASTEEL.NS, TMCV.NS","ASIANPAINT.NS, BHARATFORG.NS, HEROMOTOCO.NS, IPCALAB.NS, SUNPHARMA.NS","BPCL.NS, COALINDIA.NS, GODREJCP.NS, TATASTEEL.NS, TMCV.NS","BPCL.NS, COALINDIA.NS, GODREJCP.NS, TATASTEEL.NS, TMCV.NS",83438.69107602892
2026-01-31,"COALINDIA.NS, NTPC.NS, ONGC.NS, SBIN.NS, TMCV.NS","BPCL.NS, GODREJCP.NS, TATASTEEL.NS","NTPC.NS, ONGC.NS, SBIN.NS","COALINDIA.NS, NTPC.NS, ONGC.NS, SBIN.NS, TMCV.NS",85220.67285852504
2026-02-28,"APOLLOHOSP.NS, BHARATFORG.NS, EICHERMOT.NS, POWERGRID.NS, SBIN.NS","COALINDIA.NS, NTPC.NS, ONGC.NS, TMCV.NS","APOLLOHOSP.NS, BHARATFORG.NS, EICHERMOT.NS, POWERGRID.NS","APOLLOHOSP.NS, BHARATFORG.NS, EICHERMOT.NS, POWERGRID.NS, SBIN.NS",88845.41427839999
2026-03-31,"COALINDIA.NS, IPCALAB.NS, ONGC.NS, POWERGRID.NS, SUNPHARMA.NS","APOLLOHOSP.NS, BHARATFORG.NS, EICHERMOT.NS, SBIN.NS","COALINDIA.NS, IPCALAB.NS, ONGC.NS, SUNPHARMA.NS","COALINDIA.NS, IPCALAB.NS, ONGC.NS, POWERGRID.NS, SUNPHARMA.NS",83165.38818219882
2026-04-30,"ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, HAL.NS, ZEEL.NS","COALINDIA.NS, IPCALAB.NS, ONGC.NS, POWERGRID.NS, SUNPHARMA.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, HAL.NS, ZEEL.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, HAL.NS, ZEEL.NS",84973.81661103078
2026-05-31,"ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, ASIANPAINT.NS, GRASIM.NS","HAL.NS, ZEEL.NS","ASIANPAINT.NS, GRASIM.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, ASIANPAINT.NS, GRASIM.NS",90376.93243836399
2026-06-30,"COALINDIA.NS, HCLTECH.NS, INFY.NS, TECH.NS, WIPRO.NS","ADANIENT.NS, ADANIGREEN.NS, ADANIPORTS.NS, ASIANPAINT.NS, GRASIM.NS","COALINDIA.NS, HCLTECH.NS, INFY.NS, TECH.NS, WIPRO.NS","COALINDIA.NS, HCLTECH.NS, INFY.NS, TECH.NS, WIPRO.NS",90232.04107251074
