Ticker,Company,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,Capital_Deployed,PnL,PnL_Pct,Holding_Days,Exit_Reason,Status,Result,Partial_Booked,Partial_Price,Partial_Pct,IPO_Day_Value_Cr,Liquidity_Status,Promoter_Backed,Entry_Stage,Setup_Type
NEPHROPLUS.NS,NEPHROPLUS.NS,2026-05-18,654.0,2026-05-22,589.9,76.4526,50000.0,-4900.61,-9.8,3,Hard Stop,Closed,Loss,False,,,723.46,Liquid,Unknown,Stage 3 — Breakout,STANDARD
BUILDPRO.NS,BUILDPRO.NS,2026-05-18,1154.3,2026-05-21,1115.0,43.3163,50000.0,-1702.33,-3.4,2,SMA10 Trail,Closed,Loss,False,,,24.16,Liquid,Unknown,Stage 3 — Breakout,STANDARD
ENRIN.NS,ENRIN.NS,2026-05-21,3485.0,2026-06-03,3641.4,14.3472,50000.0,2243.9,4.49,8,SMA10 Trail,Closed,Win,False,,,1114.19,Liquid,Unknown,Stage 3 — Breakout,STANDARD
EBGNG.NS,EBGNG.NS,2026-05-22,460.7,2026-06-02,426.55,108.5305,50000.0,-3706.32,-7.41,6,SMA10 Trail,Closed,Loss,False,,,885.0,Liquid,Unknown,Stage 1 — Building Base,STANDARD
LENSKART.NS,LENSKART.NS,2026-05-22,502.0,2026-06-03,516.15,99.6016,50000.0,1409.36,2.82,8,Open,Open,Open,False,,,5304.1,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
AEQUS.NS,AEQUS.NS,2026-05-22,216.2,2026-05-28,190.47,231.2673,50000.0,-5950.51,-11.9,3,Hard Stop,Closed,Loss,False,,,1749.23,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
PARKHOSPS.NS,PARKHOSPS.NS,2026-05-26,282.0,2026-06-03,287.15,177.305,50000.0,913.12,1.83,6,Open,Open,Open,False,,,607.11,Liquid,Unknown,Stage 3 — Breakout,STANDARD
KSHINTL.NS,KSHINTL.NS,2026-05-26,760.0,2026-06-03,849.2,65.7895,50000.0,5868.42,11.74,6,Open,Open,Open,False,,,153.8,Liquid,Unknown,Stage 3 — Breakout,STANDARD
EMMVEE.NS,EMMVEE.NS,2026-05-26,294.25,2026-06-03,327.7,169.9235,50000.0,5683.94,11.37,6,Open,Open,Open,False,,,791.23,Liquid,Unknown,Stage 3 — Breakout,U-TURN
ICICIAMC.NS,ICICIAMC.NS,2026-05-26,3355.0,2026-06-03,3328.0,14.9031,50000.0,-402.38,-0.8,5,SMA10 Trail,Closed,Loss,False,,,8082.89,Liquid,Unknown,Stage 1 — Building Base,STANDARD
BORANA.NS,BORANA.NS,2026-05-27,329.8,2026-06-01,325.05,151.607,50000.0,-720.13,-1.44,1,SMA10 Trail,Closed,Loss,False,,,51.15,Liquid,Unknown,Stage 1 — Building Base,FLAG
RUBICON.NS,RUBICON.NS,2026-06-01,1044.3,2026-06-03,1272.0,47.879,50000.0,10902.04,22.78,2,Open,Open,Open,True,1302.6,24.73,1550.92,Liquid,Unknown,Stage 1 — Building Base,STANDARD
UTLSOLAR.NS,UTLSOLAR.NS,2026-06-01,335.0,2026-06-02,302.0,149.2537,50000.0,-4925.37,-9.85,0,Hard Stop,Closed,Loss,False,,,357.39,Liquid,Unknown,Stage 3 — Breakout,STANDARD
OMNI.NS,OMNI.NS,2026-06-01,499.0,2026-06-03,507.1,100.2004,50000.0,811.62,1.62,2,Open,Open,Open,False,,,136.19,Liquid,Unknown,Stage 3 — Breakout,STANDARD
AYE.NS,AYE.NS,2026-06-02,147.91,2026-06-03,158.27,338.0434,50000.0,3502.13,7.0,1,Open,Open,Open,False,,,126.62,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
