Date,Portfolio_Value,Benchmark_Value
2024-05-06,500000.0,100.0
2024-05-07,500000.0,99.49269455586155
2024-05-08,500000.0,99.54503778788164
2024-05-09,500000.0,98.03519357411876
2024-05-10,500000.0,98.63107703695039
2024-05-13,500000.0,98.7075767934192
2024-05-14,500000.0,99.2913819940265
2024-05-15,500000.0,99.21488223755766
2024-05-16,500000.0,99.92350024353118
2024-05-17,500000.0,100.1449452902641
2024-05-21,500000.0,100.5516005970569
2024-05-22,500000.0,100.80122620778937
2024-05-23,500000.0,102.38353999489837
2024-05-24,500000.0,102.66135231320223
2024-05-27,500000.0,102.55667199273388
2024-05-28,500000.0,102.34730520822531
2024-05-29,500000.0,101.61050049468041
2024-05-30,500000.0,100.79720216823851
2024-05-31,500000.0,101.11929735231715
2024-06-03,500000.0,103.93365532202883
2024-06-04,500000.0,100.84953925668678
2024-06-05,500000.0,101.17969480701075
2024-06-06,500000.0,101.85610206586202
2024-06-07,500000.0,104.04638986517072
2024-06-10,500000.0,103.85312538243734
2024-06-11,500000.0,104.19937709096467
2024-06-12,500000.0,104.43693672661647
2024-06-13,500000.0,104.80331477646982
2024-06-14,500000.0,104.94423602718311
2024-06-18,500000.0,105.3106263641801
2024-06-19,500000.0,105.238156790834
2024-06-20,500000.0,105.37504785842458
2024-06-21,500000.0,105.03281404587625
2024-06-24,500000.0,105.35089133397587
2024-06-25,500000.0,106.12795487374468
2024-06-26,500000.0,106.69968795569945
2024-06-27,500000.0,107.48078167859092
2024-06-28,500000.0,107.69417250265035
2024-07-01,500000.0,108.02431576583062
2024-07-02,500000.0,108.31823652948154
2024-07-03,500000.0,108.80139159274312
2024-07-04,500000.0,108.92217421498668
2024-07-05,500000.0,108.92217421498668
2024-07-08,500000.0,108.7248918362743
2024-07-09,500000.0,109.26440802753498
2024-07-10,500000.0,109.07920391104697
2024-07-11,500000.0,109.01075223367984
2024-07-12,500000.0,109.48987711381876
2024-07-15,500000.0,109.95289354861065
2024-07-16,500000.0,110.13809766509866
2024-07-18,500000.0,110.9272517542355
2024-07-19,500000.0,110.03342348820213
2024-07-22,500000.0,109.69521985877648
2024-07-23,500000.0,109.7717196152453
2024-07-24,500000.0,109.46975077249273
2024-07-25,500000.0,109.48182903471708
2024-07-26,500000.0,111.14869065739657
2024-07-29,500000.0,111.39831626812907
2024-07-30,500000.0,111.56742422641372
2024-07-31,500000.0,111.82912809937055
2024-08-01,500000.0,112.062645264756
2024-08-02,500000.0,110.99972132758165
2024-08-05,500000.0,108.49942274999054
2024-08-06,500000.0,107.74650344752676
2024-08-07,500000.0,109.15167348439311
2024-08-08,500000.0,108.43901915172509
2024-08-09,500000.0,109.34895586310549
2024-08-12,500000.0,109.2885645519837
2024-08-13,500000.0,108.51551890819391
2024-08-14,500000.0,108.44304933484776
2024-08-16,500000.0,110.24278412913884
2024-08-19,500000.0,110.49240973987133
2024-08-20,500000.0,111.05608245558074
2024-08-21,500000.0,111.1728471818453
2024-08-22,500000.0,111.31779861568126
2024-08-23,500000.0,111.36611166457868
2024-08-26,500095.9700220148,112.26798800971372
2024-08-27,498618.04208005,112.21162688171462
2024-08-28,498502.87995731994,112.30825297950946
2024-08-29,496948.1748262431,112.77529959742402
2024-08-30,499481.7671528704,113.16986435484877
2024-09-02,499750.47999288666,113.31884597180739
2024-09-03,499404.98996375845,113.42755033182661
2024-09-04,500307.099970197,113.25039429444026
2024-09-05,507850.28673636937,112.90816048189194
2024-09-06,506813.8203099227,111.85731480694194
2024-09-09,508119.0032373234,111.80094139179917
2024-09-10,512053.7463168036,112.41293944354966
2024-09-11,510268.7132793288,111.74458026380006
2024-09-12,511209.2118803233,113.82614527237402
2024-09-13,510038.38903386856,114.0194097551074
2024-09-16,508138.19753460144,114.05161435865779
2024-09-17,512341.6497931599,114.30125225653394
2024-09-18,512552.78340228,114.08784914533085
2024-09-19,509251.44115016004,114.31333051875829
2024-09-20,509577.73688201024,115.59367546311475
2024-09-23,509750.4782356365,116.49555180824977
2024-09-24,510191.9397511546,116.47944336290274
2024-09-25,509788.86683019245,116.79752065100234
2024-09-26,506084.45165711036,117.38534989116047
2024-09-27,506602.6871401152,117.55445784944514
2024-09-30,506602.6871401152,116.10903512992672
2024-10-01,506602.6871401152,116.0647399770083
2024-10-03,506602.6871401152,113.81809719327234
2024-10-04,506602.6871401152,112.79542593875007
2024-10-07,506602.6871401152,111.93381456341076
2024-10-08,506602.6871401152,112.4934570959975
2024-10-09,506602.6871401152,112.2196749608163
2024-10-10,506602.6871401152,112.45319212620176
2024-10-11,506602.6871401152,112.2196749608163
2024-10-14,506602.6871401152,113.04103365350353
2024-10-15,506602.6871401152,112.66658295026116
2024-10-16,506602.6871401152,112.13109694212314
2024-10-17,506602.6871401152,111.40234645125173
2024-10-18,506602.6871401152,111.74055008067738
2024-10-21,506602.6871401152,111.31376843255858
2024-10-22,506602.6871401152,110.1421278482213
2024-10-23,506602.6871401152,109.95289354861065
2024-10-24,506602.6871401152,109.56234668716489
2024-10-25,506602.6871401152,108.90204787366065
2024-10-28,506602.6871401152,109.50195537604313
2024-10-29,506602.6871401152,110.15420611044568
2024-10-30,506602.6871401152,109.57845513251192
2024-10-31,506602.6871401152,108.9664693679051
2024-11-01,506602.6871401152,108.9664693679051
2024-11-04,506602.6871401152,108.09276744319776
2024-11-05,506602.6871401152,109.02686067902687
2024-11-06,506602.6871401152,110.28304909893461
2024-11-07,506602.6871401152,108.9906258923538
2024-11-08,506602.6871401152,108.72086165315163
2024-11-11,506602.6871401152,108.69267494558024
2024-11-12,506602.6871401152,107.5733775932631
2024-11-13,506602.6871401152,106.1480935022144
2024-11-14,506602.6871401152,106.119906794643
2024-11-18,506602.6871401152,105.67701670117715
2024-11-19,506602.6871401152,105.91859423280796
2024-11-21,506602.6871401152,105.20192200416092
2024-11-22,506602.6871401152,107.44453460477419
2024-11-25,506602.6871401152,109.00270415457815
2024-11-26,506602.6871401152,108.92620439810936
2024-11-27,506602.6871401152,109.32882952177945
2024-11-28,506602.6871401152,107.77469015509816
2024-11-29,506602.6871401152,108.66047034202984
2024-12-02,506602.6871401152,109.26440802753498
2024-12-03,506602.6871401152,109.90861068283589
2024-12-04,506602.6871401152,110.08978461620124
2024-12-05,506602.6871401152,111.09232952939749
2024-12-06,501704.18901331275,111.07622108405045
2024-12-09,501476.87034788384,110.77828242442055
2024-12-10,500487.1825758163,110.59306602078887
2024-12-11,500305.0922554278,110.70983074705343
2024-12-12,498386.28897894605,110.35954885540342
2024-12-13,498268.2599554005,111.15673873649827
2024-12-16,498268.2599554005,110.91517349201115
2024-12-17,498268.2599554005,109.60261165696063
2024-12-18,498268.2599554005,108.9906258923538
2024-12-19,498268.2599554005,108.06056283964737
2024-12-20,498268.2599554005,106.35342396002845
2024-12-23,498268.2599554005,106.96139182865628
2024-12-24,498268.2599554005,106.89294015128914
2024-12-26,498268.2599554005,106.96542201177894
2024-12-27,497567.28400202247,107.25531259230716
2024-12-30,498415.5324528853,106.44200197872162
2024-12-31,499960.96663351107,106.48226694851736
2025-01-01,500030.6869799403,106.93320512108488
2025-01-02,499147.5783558628,108.66450052515253
2025-01-03,500081.04122030694,108.06861091874904
2025-01-06,497540.17086238385,106.48629713164004
2025-01-07,503334.5884193901,106.76007926682122
2025-01-08,505166.6421520441,106.66345316902637
2025-01-09,501568.37708274496,105.95079883635835
2025-01-10,498961.6613730581,105.57636042025965
2025-01-13,497648.39322674717,104.03832949892538
2025-01-14,497648.39322674717,104.38459349459637
2025-01-15,497648.39322674717,104.51342419594161
2025-01-16,497648.39322674717,104.97242273475449
2025-01-17,497648.39322674717,104.58992395241043
2025-01-20,497648.39322674717,105.20192200416092
2025-01-21,497648.39322674717,103.84104712021298
2025-01-22,497648.39322674717,104.21951571943437
2025-01-23,497648.39322674717,104.48524977551388
2025-01-24,497648.39322674717,103.95378166335487
2025-01-27,497648.39322674717,102.94721885417961
2025-01-28,497648.39322674717,103.60751766768388
2025-01-29,497648.39322674717,104.43290654349377
2025-01-30,497648.39322674717,104.77111017291942
2025-01-31,497648.39322674717,105.89040752523657
2025-02-01,497648.39322674717,105.54012563358657
2025-02-03,497648.39322674717,105.27439157750706
2025-02-04,497648.39322674717,106.71578411390281
2025-02-05,497648.39322674717,106.7963140534943
2025-02-06,497138.3513105799,106.44200197872162
2025-02-07,494504.44153137883,106.19237636798916
2025-02-10,491173.7337045324,105.44751743177072
2025-02-11,491173.7337045324,104.09872081004714
2025-02-12,491173.7337045324,103.98598626690527
2025-02-13,491173.7337045324,103.94573358425319
2025-02-14,491173.7337045324,103.45453044188993
2025-02-17,491173.7337045324,103.51893964899071
2025-02-18,491173.7337045324,103.4102352889715
2025-02-19,491173.7337045324,103.43037391744122
2025-02-20,491173.7337045324,103.41426547209419
2025-02-21,491173.7337045324,102.88279735993517
2025-02-24,491173.7337045324,101.81181305651546
2025-02-25,491173.7337045324,101.76350000761802
2025-02-27,491173.7337045324,101.6870002511492
2025-02-28,491173.7337045324,100.03221074712224
2025-03-03,491173.7337045324,99.87116315508293
2025-03-04,491173.7337045324,99.64569406879917
2025-03-05,491173.7337045324,100.84953925668678
2025-03-06,491173.7337045324,101.76350000761802
2025-03-07,491173.7337045324,101.79973479429111
2025-03-10,491173.7337045324,101.36087488394794
2025-03-11,491173.7337045324,101.49374191198768
2025-03-12,491173.7337045324,101.3568508443971
2025-03-13,491173.7337045324,101.08306256564406
2025-03-17,491173.7337045324,101.53400073821159
2025-03-18,491173.7337045324,101.53400073821159
2025-03-19,491173.7337045324,103.3538741609724
2025-03-20,491173.7337045324,104.40875001904509
2025-03-21,491173.7337045324,105.12139206456943
2025-03-24,491173.7337045324,106.65539280278102
2025-03-25,491173.7337045324,106.58695341255755
2025-03-26,491173.7337045324,105.85014255544083
2025-03-27,491173.7337045324,106.18432828888746
2025-03-28,491173.7337045324,105.97495536080706
2025-04-01,491173.7337045324,104.52148456218696
2025-04-02,491173.7337045324,105.3428432548742
2025-04-03,491173.7337045324,104.86773627071429
2025-04-04,491173.7337045324,103.5390782774604
2025-04-07,491173.7337045324,100.29392076365089
2025-04-08,491173.7337045324,101.75142174539367
2025-04-09,491173.7337045324,101.07098430341972
2025-04-11,491173.7337045324,103.05995339732151
2025-04-15,491173.7337045324,105.03281404587625
2025-04-16,491173.7337045324,105.4515476148934
2025-04-17,491173.7337045324,107.31570390342895
2025-04-21,491173.7337045324,108.58800076868371
2025-04-22,491173.7337045324,108.72890973225331
2025-04-23,491173.7337045324,109.44156406492134
2025-04-24,491173.7337045324,109.09128217327134
2025-04-25,491173.7337045324,108.15718893744221
2025-04-28,491173.7337045324,109.47376866847173
2025-04-29,491173.7337045324,109.47779885159441
2025-04-30,491173.7337045324,109.51000345514478
2025-05-02,491173.7337045324,109.42142543645164
2025-05-05,491173.7337045324,110.47631358166798
2025-05-06,491173.7337045324,109.75561116989827
2025-05-07,491173.7337045324,109.8321109263671
2025-05-08,491173.7337045324,109.1275169599444
2025-05-09,491173.7337045324,108.10081552229944
2025-05-12,491173.7337045324,112.30825297950946
2025-05-13,491173.7337045324,110.98361288223461
2025-05-14,491173.7337045324,111.35403340235432
2025-05-15,491173.7337045324,112.80348630499542
2025-05-16,491173.7337045324,112.81958246319878
2025-05-19,491173.7337045324,112.41695733952868
2025-05-20,491173.7337045324,111.48287639084322
