date,equity
2024-07-22,970826.1935277636
2024-10-18,1053365.188701942
2024-10-30,1085233.813701942
2024-11-12,1095600.688701942
2024-11-18,1061428.313701942
2025-01-20,1117214.7385155228
2025-01-29,1185704.9401146441
2025-02-07,1206764.2108971148
2025-05-13,910319.4072611335
2025-11-14,1007961.7832224373
