Date,HINDUNILVR.NS
2023-05-15,2519.787353515625
2023-05-16,2532.70703125
2023-05-17,2519.31396484375
2023-05-18,2486.944580078125
2023-05-19,2500.1005859375
2023-05-22,2496.93017578125
2023-05-23,2487.654296875
2023-05-24,2475.018310546875
2023-05-25,2458.265869140625
2023-05-26,2510.41748046875
2023-05-29,2508.47705078125
2023-05-30,2514.392578125
2023-05-31,2524.8037109375
2023-06-01,2553.52978515625
2023-06-02,2571.32373046875
2023-06-05,2551.542236328125
2023-06-06,2547.140869140625
2023-06-07,2570.8505859375
2023-06-08,2536.492919921875
2023-06-09,2495.13134765625
2023-06-12,2501.993408203125
2023-06-13,2532.70703125
2023-06-14,2554.333984375
2023-06-15,2545.7685546875
2023-06-16,2570.329833984375
2023-06-19,2560.40576171875
2023-06-20,2553.58349609375
2023-06-21,2554.060791015625
2023-06-22,2532.8291015625
2023-06-23,2520.6630859375
2023-06-26,2530.682373046875
2023-06-27,2529.966796875
2023-06-28,2539.4130859375
2023-06-30,2555.53955078125
2023-07-03,2577.39111328125
2023-07-04,2576.38916015625
2023-07-05,2629.68212890625
2023-07-06,2630.875
2023-07-07,2574.576171875
2023-07-10,2534.92822265625
2023-07-11,2561.59912109375
2023-07-12,2551.2451171875
2023-07-13,2533.1630859375
2023-07-14,2554.3466796875
2023-07-17,2558.927001953125
2023-07-18,2559.976806640625
2023-07-19,2549.289306640625
2023-07-20,2579.490234375
2023-07-21,2484.7841796875
2023-07-24,2462.12158203125
2023-07-25,2450.575439453125
2023-07-26,2465.031982421875
2023-07-27,2452.19775390625
2023-07-28,2466.2724609375
2023-07-31,2443.561767578125
2023-08-01,2434.30615234375
2023-08-02,2451.338623046875
2023-08-03,2434.4970703125
2023-08-04,2429.439697265625
2023-08-07,2451.5771484375
2023-08-08,2448.380859375
2023-08-09,2435.355712890625
2023-08-10,2420.565185546875
2023-08-11,2387.26318359375
2023-08-14,2417.130126953125
2023-08-16,2435.7373046875
2023-08-17,2426.8154296875
2023-08-18,2437.788818359375
2023-08-21,2445.422607421875
2023-08-22,2448.333251953125
2023-08-23,2456.205810546875
2023-08-24,2463.07568359375
2023-08-25,2446.186279296875
2023-08-28,2438.695556640625
2023-08-29,2410.498291015625
2023-08-30,2416.03271484375
2023-08-31,2390.364501953125
2023-09-01,2390.125732421875
2023-09-04,2386.881103515625
2023-09-05,2392.272705078125
2023-09-06,2407.9697265625
2023-09-07,2392.654541015625
2023-09-08,2398.713623046875
2023-09-11,2420.1357421875
2023-09-12,2384.44873046875
2023-09-13,2391.795654296875
2023-09-14,2386.30908203125
2023-09-15,2356.633056640625
2023-09-18,2374.715087890625
2023-09-20,2353.913330078125
2023-09-21,2360.11572265625
2023-09-22,2368.799072265625
2023-09-25,2362.50146484375
2023-09-26,2365.458984375
2023-09-27,2387.215576171875
2023-09-28,2347.7109375
2023-09-29,2352.720703125
2023-10-03,2355.869140625
2023-10-04,2393.036376953125
2023-10-05,2404.200439453125
2023-10-06,2384.972900390625
2023-10-09,2396.328369140625
2023-10-10,2401.00390625
2023-10-11,2439.36328125
2023-10-12,2439.935791015625
2023-10-13,2451.816162109375
2023-10-16,2441.176513671875
2023-10-17,2439.125
2023-10-18,2431.586669921875
2023-10-19,2431.443359375
2023-10-20,2380.91748046875
2023-10-23,2369.801025390625
2023-10-25,2363.884765625
2023-10-26,2363.02587890625
2023-10-27,2368.41748046875
2023-10-30,2365.41162109375
2023-10-31,2370.27783203125
2023-11-01,2359.06591796875
2023-11-02,2390.353515625
2023-11-03,2411.932861328125
2023-11-06,2400.542236328125
2023-11-07,2399.62939453125
2023-11-08,2421.64111328125
2023-11-09,2380.645263671875
2023-11-10,2390.113525390625
2023-11-13,2382.0390625
2023-11-15,2389.96923828125
2023-11-16,2394.5830078125
2023-11-17,2430.724609375
2023-11-20,2409.241455078125
2023-11-21,2408.087890625
2023-11-22,2424.09228515625
2023-11-23,2422.169921875
2023-11-24,2417.65185546875
2023-11-28,2413.1826171875
2023-11-29,2427.1201171875
2023-11-30,2446.8251953125
2023-12-01,2464.222900390625
2023-12-04,2501.3740234375
2023-12-05,2463.83837890625
2023-12-06,2468.068115234375
2023-12-07,2420.583984375
2023-12-08,2424.47705078125
2023-12-11,2406.550048828125
2023-12-12,2405.68505859375
2023-12-13,2414.47998046875
2023-12-14,2418.757568359375
2023-12-15,2425.053466796875
2023-12-18,2437.164794921875
2023-12-19,2461.387451171875
2023-12-20,2458.3115234375
2023-12-21,2454.178466796875
2023-12-22,2475.709716796875
2023-12-26,2484.5048828125
2023-12-27,2507.141357421875
2023-12-28,2531.65234375
2023-12-29,2560.63330078125
2024-01-01,2551.7900390625
2024-01-02,2512.42822265625
2024-01-03,2505.459228515625
2024-01-04,2492.002197265625
2024-01-05,2518.435791015625
2024-01-08,2478.2568359375
2024-01-09,2479.698486328125
2024-01-10,2477.439697265625
2024-01-11,2437.83740234375
2024-01-12,2445.335205078125
