Date,POWERGRID.NS
2023-05-29,155.7593536376953
2023-05-30,156.1578826904297
2023-05-31,155.32762145996094
2023-06-01,154.76303100585938
2023-06-02,155.82577514648438
2023-06-05,156.489990234375
2023-06-06,156.29075622558594
2023-06-07,158.88119506835938
2023-06-08,160.508544921875
2023-06-09,162.66725158691406
2023-06-12,160.508544921875
2023-06-13,160.9070587158203
2023-06-14,163.72998046875
2023-06-15,163.69676208496094
2023-06-16,163.69676208496094
2023-06-19,161.47166442871094
2023-06-20,165.22447204589844
2023-06-21,171.5013427734375
2023-06-22,168.4127655029297
2023-06-23,166.1211700439453
2023-06-26,165.0584259033203
2023-06-27,165.755859375
2023-06-28,166.15440368652344
2023-06-30,169.4754638671875
2023-07-03,166.38687133789062
2023-07-04,165.7890625
2023-07-05,168.21347045898438
2023-07-06,174.4903564453125
2023-07-07,169.6747589111328
2023-07-10,166.0547637939453
2023-07-11,168.3795166015625
2023-07-12,167.41641235351562
2023-07-13,161.47166442871094
2023-07-14,159.44578552246094
2023-07-17,160.07679748535156
2023-07-18,160.1764373779297
2023-07-19,161.5712890625
2023-07-20,162.23548889160156
2023-07-21,162.13587951660156
2023-07-24,164.36099243164062
2023-07-25,166.81863403320312
2023-07-26,166.71896362304688
2023-07-27,166.51971435546875
2023-07-28,171.5013427734375
2023-07-31,176.71548461914062
2023-08-01,167.2503662109375
2023-08-02,165.0916290283203
2023-08-03,165.1912841796875
2023-08-04,164.2945556640625
2023-08-07,164.69309997558594
2023-08-08,163.54188537597656
2023-08-09,162.7631072998047
2023-08-10,163.7450408935547
2023-08-11,165.43801879882812
2023-08-14,165.57347106933594
2023-08-16,167.9774932861328
2023-08-17,165.03170776367188
2023-08-18,163.20330810546875
2023-08-21,167.40185546875
2023-08-22,167.80819702148438
2023-08-23,169.0271453857422
2023-08-24,166.79238891601562
2023-08-25,163.8804931640625
2023-08-28,168.2822265625
2023-08-29,170.07679748535156
2023-08-30,167.33416748046875
2023-08-31,165.6073455810547
2023-09-01,170.787841796875
2023-09-04,172.95484924316406
2023-09-05,172.20993041992188
2023-09-06,172.3453826904297
2023-09-07,174.0383758544922
2023-09-08,175.1557159423828
2023-09-11,179.1173095703125
2023-09-12,172.72915649414062
2023-09-13,174.44468688964844
2023-09-14,176.20535278320312
2023-09-15,175.25732421875
2023-09-18,180.6748504638672
2023-09-20,184.78314208984375
2023-09-21,182.02923583984375
2023-09-22,179.81707763671875
2023-09-25,179.59132385253906
2023-09-26,179.09471130371094
2023-09-27,179.99766540527344
2023-09-28,181.26174926757812
2023-09-29,180.3588104248047
2023-10-03,180.17823791503906
2023-10-04,179.68162536621094
2023-10-05,177.51461791992188
2023-10-06,177.9209442138672
2023-10-09,177.19859313964844
2023-10-10,178.73355102539062
2023-10-11,179.23016357421875
2023-10-12,181.26174926757812
