Date,SUNPHARMA.NS
2023-05-15,926.54638671875
2023-05-16,914.8308715820312
2023-05-17,909.9696655273438
2023-05-18,903.8445434570312
2023-05-19,900.1500854492188
2023-05-22,911.4281005859375
2023-05-23,905.7403564453125
2023-05-24,925.719970703125
2023-05-25,918.7684326171875
2023-05-26,942.977294921875
2023-05-29,941.5675659179688
2023-05-30,932.963134765625
2023-05-31,948.2760009765625
2023-06-01,960.2832641601562
2023-06-02,971.8529052734375
2023-06-05,980.7489013671875
2023-06-06,985.6586303710938
2023-06-07,986.4364624023438
2023-06-08,959.6026611328125
2023-06-09,956.6372680664062
2023-06-12,958.095703125
2023-06-13,960.6720581054688
2023-06-14,959.31103515625
2023-06-15,960.9638061523438
2023-06-16,964.4638671875
2023-06-19,973.9918823242188
2023-06-20,964.415283203125
2023-06-21,964.3665771484375
2023-06-22,962.81103515625
2023-06-23,963.9291381835938
2023-06-26,967.33203125
2023-06-27,973.9918823242188
2023-06-28,993.4365844726562
2023-06-30,1022.409423828125
2023-07-03,1004.0340576171875
2023-07-04,1019.687255859375
2023-07-05,1015.700927734375
2023-07-06,1013.5621337890625
2023-07-07,1006.9507446289062
2023-07-10,1015.9926147460938
2023-07-11,1042.486328125
2023-07-12,1048.8056640625
2023-07-13,1045.7918701171875
2023-07-14,1043.1666259765625
2023-07-17,1047.687744140625
2023-07-18,1037.5277099609375
2023-07-19,1051.8197021484375
2023-07-20,1067.18115234375
2023-07-21,1066.695068359375
2023-07-24,1069.85498046875
2023-07-25,1064.6534423828125
2023-07-26,1081.1328125
2023-07-27,1103.44580078125
2023-07-28,1110.8609619140625
2023-07-31,1115.5928955078125
2023-08-01,1115.6417236328125
2023-08-02,1107.64111328125
2023-08-03,1113.2513427734375
2023-08-04,1111.2510986328125
2023-08-07,1132.56982421875
2023-08-08,1120.71533203125
2023-08-09,1124.7645263671875
2023-08-10,1122.3251953125
2023-08-11,1104.8116455078125
2023-08-14,1106.6654052734375
2023-08-16,1115.8369140625
2023-08-17,1116.958984375
2023-08-18,1107.2998046875
2023-08-21,1109.73876953125
2023-08-22,1109.88525390625
2023-08-23,1096.3720703125
2023-08-24,1091.1033935546875
2023-08-25,1079.3953857421875
2023-08-28,1089.835205078125
2023-08-29,1084.56640625
2023-08-30,1087.7861328125
2023-08-31,1084.56640625
2023-09-01,1082.029541015625
2023-09-04,1081.93212890625
2023-09-05,1104.3726806640625
2023-09-06,1114.568359375
2023-09-07,1105.494873046875
2023-09-08,1102.957763671875
2023-09-11,1109.251220703125
2023-09-12,1117.39794921875
2023-09-13,1120.81298828125
2023-09-14,1115.9833984375
2023-09-15,1121.8372802734375
2023-09-18,1119.73974609375
2023-09-20,1125.1058349609375
2023-09-21,1118.2762451171875
2023-09-22,1104.8116455078125
2023-09-25,1096.713623046875
2023-09-26,1098.4698486328125
2023-09-27,1112.2266845703125
2023-09-28,1104.762939453125
2023-09-29,1130.4722900390625
2023-10-03,1113.6904296875
2023-10-04,1096.4698486328125
2023-10-05,1091.8837890625
2023-10-06,1099.8846435546875
2023-10-09,1095.7379150390625
2023-10-10,1099.10400390625
2023-10-11,1101.2991943359375
2023-10-12,1102.9091796875
2023-10-13,1117.4468994140625
2023-10-16,1107.6900634765625
2023-10-17,1109.1534423828125
2023-10-18,1125.349853515625
2023-10-19,1113.7392578125
2023-10-20,1114.422119140625
2023-10-23,1095.15234375
2023-10-25,1093.0548095703125
2023-10-26,1076.8585205078125
2023-10-27,1084.273681640625
2023-10-30,1088.07861328125
2023-10-31,1062.125732421875
2023-11-01,1089.054443359375
2023-11-02,1105.299560546875
2023-11-03,1113.348876953125
2023-11-06,1122.032470703125
2023-11-07,1142.472900390625
2023-11-08,1148.0831298828125
2023-11-09,1147.59521484375
2023-11-10,1150.668701171875
2023-11-13,1149.1563720703125
2023-11-15,1152.180908203125
2023-11-16,1160.6207275390625
