Date,TCS.NS
2023-05-02,2960.784912109375
2023-05-03,2924.458251953125
2023-05-04,2961.981201171875
2023-05-05,2971.177490234375
2023-05-08,2989.4794921875
2023-05-09,3019.506103515625
2023-05-10,3022.771240234375
2023-05-11,3018.49462890625
2023-05-12,3011.275146484375
2023-05-15,2993.57177734375
2023-05-16,2996.42236328125
2023-05-17,2950.945068359375
2023-05-18,2942.80615234375
2023-05-19,2963.9580078125
2023-05-22,3033.715087890625
2023-05-23,3032.19775390625
2023-05-24,3037.991455078125
2023-05-25,3028.9326171875
2023-05-26,3061.4892578125
2023-05-29,3053.625732421875
2023-05-30,3049.809326171875
2023-05-31,3025.25439453125
2023-06-01,3056.98291015625
2023-06-02,3040.060791015625
2023-06-05,3024.701904296875
2023-06-06,2972.64892578125
2023-06-07,3011.826904296875
2023-06-08,2976.465576171875
2023-06-09,2951.496826171875
2023-06-12,2986.075927734375
2023-06-13,2983.133056640625
2023-06-14,2989.893310546875
2023-06-15,2979.93310546875
2023-06-16,2941.574951171875
2023-06-19,2974.46630859375
2023-06-20,2990.4951171875
2023-06-21,3018.75341796875
2023-06-22,3000.50146484375
2023-06-23,2979.979248046875
2023-06-26,2955.2412109375
2023-06-27,2962.375244140625
2023-06-28,2979.145751953125
2023-06-30,3059.566162109375
2023-07-03,3031.8173828125
2023-07-04,3065.681396484375
2023-07-05,3075.96533203125
2023-07-06,3078.69873046875
2023-07-07,3084.58251953125
2023-07-10,3031.492919921875
2023-07-11,3031.909912109375
2023-07-12,3020.328369140625
2023-07-13,3095.0517578125
2023-07-14,3256.35693359375
2023-07-17,3235.093505859375
2023-07-18,3239.865234375
2023-07-19,3215.03466796875
2023-07-20,3217.124755859375
2023-07-21,3128.877685546875
2023-07-24,3153.447509765625
2023-07-25,3157.53466796875
2023-07-26,3147.4560546875
2023-07-27,3155.444580078125
2023-07-28,3116.894287109375
2023-07-31,3178.24951171875
2023-08-01,3206.6748046875
2023-08-02,3196.084716796875
2023-08-03,3158.27734375
2023-08-04,3198.779052734375
2023-08-07,3236.399658203125
2023-08-08,3223.90576171875
2023-08-09,3216.3818359375
2023-08-10,3197.43212890625
2023-08-11,3203.655517578125
2023-08-14,3204.630859375
2023-08-16,3212.572998046875
2023-08-17,3191.533203125
2023-08-18,3127.76318359375
2023-08-21,3159.856689453125
2023-08-22,3141.742919921875
2023-08-23,3156.69873046875
2023-08-24,3146.945068359375
2023-08-25,3140.95361328125
2023-08-28,3135.612060546875
2023-08-29,3136.169189453125
2023-08-30,3149.91748046875
2023-08-31,3118.195068359375
2023-09-01,3139.002685546875
2023-09-04,3175.509033203125
2023-09-05,3185.587890625
2023-09-06,3186.098876953125
2023-09-07,3209.64697265625
2023-09-08,3197.24609375
2023-09-11,3233.241455078125
2023-09-12,3326.272705078125
2023-09-13,3314.243408203125
2023-09-14,3306.997802734375
2023-09-15,3342.52880859375
2023-09-18,3349.8203125
2023-09-20,3349.72802734375
2023-09-21,3330.45263671875
2023-09-22,3347.49853515625
2023-09-25,3322.882080078125
2023-09-26,3330.82421875
2023-09-27,3334.168701171875
2023-09-28,3285.353759765625
2023-09-29,3277.783203125
2023-10-03,3264.081787109375
2023-10-04,3286.283203125
2023-10-05,3334.215087890625
2023-10-06,3363.986572265625
2023-10-09,3379.73193359375
2023-10-10,3370.95361328125
2023-10-11,3353.30419921875
2023-10-12,3290.74169921875
2023-10-13,3317.0302734375
2023-10-16,3273.556640625
2023-10-17,3257.76513671875
2023-10-18,3239.37255859375
2023-10-19,3218.32470703125
2023-10-20,3254.552978515625
2023-10-23,3175.949462890625
2023-10-25,3157.276123046875
2023-10-26,3107.59033203125
2023-10-27,3120.81494140625
2023-10-30,3146.51953125
2023-10-31,3137.392822265625
2023-11-01,3101.9091796875
2023-11-02,3129.336669921875
2023-11-03,3120.768310546875
2023-11-06,3148.102783203125
2023-11-07,3138.975830078125
2023-11-08,3149.31396484375
2023-11-09,3117.555419921875
2023-11-10,3104.5166015625
2023-11-13,3102.747314453125
2023-11-15,3170.5009765625
2023-11-16,3257.626220703125
2023-11-17,3261.910400390625
2023-11-20,3277.8828125
2023-11-21,3269.128173828125
2023-11-22,3287.7080078125
2023-11-23,3267.311767578125
2023-11-24,3219.675048828125
2023-11-28,3231.828369140625
2023-11-29,3272.43408203125
2023-11-30,3248.080322265625
2023-12-01,3270.478515625
2023-12-04,3271.22314453125
2023-12-05,3289.05859375
2023-12-06,3356.57958984375
2023-12-07,3366.637451171875
2023-12-08,3377.627197265625
2023-12-11,3392.71435546875
2023-12-12,3419.909423828125
2023-12-13,3346.75390625
2023-12-14,3415.392333984375
2023-12-15,3595.8359375
2023-12-18,3594.159912109375
2023-12-19,3554.113037109375
2023-12-20,3520.4453125
2023-12-21,3527.3837890625
2023-12-22,3561.376953125
2023-12-26,3534.881103515625
2023-12-27,3549.455810546875
2023-12-28,3538.93212890625
2023-12-29,3532.87890625
2024-01-01,3549.363037109375
2024-01-02,3523.37890625
2024-01-03,3438.209716796875
2024-01-04,3414.972900390625
2024-01-05,3481.1904296875
2024-01-08,3425.683837890625
2024-01-09,3436.486572265625
2024-01-10,3458.047119140625
2024-01-11,3479.00146484375
2024-01-12,3616.138916015625
2024-01-15,3635.69677734375
2024-01-16,3596.115234375
2024-01-17,3617.8154296875
2024-01-18,3634.5791015625
2024-01-19,3697.83447265625
2024-01-23,3618.30810546875
2024-01-24,3602.881103515625
2024-01-25,3573.340087890625
2024-01-29,3564.61865234375
2024-01-30,3564.19677734375
2024-01-31,3578.638916015625
2024-02-01,3614.462890625
2024-02-02,3719.638671875
2024-02-05,3726.203369140625
2024-02-06,3878.78515625
2024-02-07,3829.4560546875
2024-02-08,3877.003662109375
2024-02-09,3876.62841796875
2024-02-12,3864.436767578125
2024-02-13,3891.4453125
2024-02-14,3845.117919921875
2024-02-15,3848.02490234375
2024-02-16,3871.5634765625
2024-02-19,3848.58740234375
2024-02-20,3779.986572265625
2024-02-21,3743.271728515625
2024-02-22,3832.926025390625
2024-02-23,3800.102783203125
2024-02-26,3752.2275390625
2024-02-27,3849.150390625
2024-02-28,3862.795654296875
2024-02-29,3840.428955078125
2024-03-01,3839.725341796875
2024-03-04,3826.923828125
2024-03-05,3762.59033203125
2024-03-06,3811.544189453125
2024-03-07,3853.088623046875
2024-03-11,3865.983642578125
2024-03-12,3931.536865234375
2024-03-13,3890.976806640625
2024-03-14,3945.93212890625
2024-03-15,3956.857666015625
2024-03-18,3894.259033203125
2024-03-19,3729.9541015625
2024-03-20,3723.952392578125
2024-03-21,3725.875244140625
2024-03-22,3667.683837890625
2024-03-26,3636.36083984375
2024-03-27,3602.037109375
2024-03-28,3635.23583984375
2024-04-01,3673.169921875
2024-04-02,3642.269287109375
2024-04-03,3701.8203125
2024-04-04,3754.33740234375
2024-04-05,3731.783447265625
2024-04-08,3725.5
2024-04-09,3701.116943359375
2024-04-10,3736.84765625
2024-04-12,3752.5556640625
2024-04-15,3696.099853515625
2024-04-16,3631.95361328125
2024-04-18,3621.824951171875
2024-04-19,3588.251708984375
2024-04-22,3624.263427734375
2024-04-23,3633.7353515625
2024-04-24,3592.7998046875
2024-04-25,3612.63427734375
2024-04-26,3583.702880859375
2024-04-29,3629.5146484375
2024-04-30,3583.046630859375
2024-05-02,3623.04443359375
2024-05-03,3604.3818359375
2024-05-06,3677.202880859375
2024-05-07,3731.501953125
2024-05-08,3729.626220703125
2024-05-09,3713.91748046875
2024-05-10,3651.7412109375
2024-05-13,3702.2890625
2024-05-14,3658.587158203125
2024-05-15,3639.080810546875
2024-05-16,3684.94189453125
2024-05-17,3621.7939453125
2024-05-21,3608.66357421875
2024-05-22,3619.810302734375
2024-05-23,3677.857421875
