Date,ITC.NS
2023-05-15,368.92108154296875
2023-05-16,365.6009826660156
2023-05-17,368.74859619140625
2023-05-18,361.9359436035156
2023-05-19,362.0652770996094
2023-05-22,366.2908630371094
2023-05-23,370.0852966308594
2023-05-24,373.8366394042969
2023-05-25,380.4337158203125
2023-05-26,382.5465087890625
2023-05-29,387.2895202636719
2023-05-30,396.6940612792969
2023-05-31,392.8144226074219
2023-06-01,387.7003479003906
2023-06-02,390.9627380371094
2023-06-05,388.5379943847656
2023-06-06,390.4337158203125
2023-06-07,391.44775390625
2023-06-08,390.5218811035156
2023-06-09,386.5981750488281
2023-06-12,385.2755432128906
2023-06-13,392.7262268066406
2023-06-14,391.93267822265625
2023-06-15,395.1069641113281
2023-06-16,399.5156555175781
2023-06-19,399.95648193359375
2023-06-20,399.2951965332031
2023-06-21,394.18109130859375
2023-06-22,394.7101135253906
2023-06-23,392.1531066894531
2023-06-26,392.9907531738281
2023-06-27,392.4617004394531
2023-06-28,396.2091064453125
2023-06-30,398.19305419921875
2023-07-03,408.46527099609375
2023-07-04,411.1986389160156
2023-07-05,418.9138488769531
2023-07-06,417.8558044433594
2023-07-07,413.0062255859375
2023-07-10,410.75775146484375
2023-07-11,417.1944885253906
2023-07-12,416.4449768066406
2023-07-13,416.1805114746094
2023-07-14,416.9740295410156
2023-07-17,416.48907470703125
2023-07-18,416.621337890625
2023-07-19,422.22039794921875
2023-07-20,433.9475402832031
2023-07-21,432.4485168457031
2023-07-24,415.6073303222656
2023-07-25,407.6276550292969
2023-07-26,416.4009094238281
2023-07-27,410.05242919921875
2023-07-28,413.0503234863281
2023-07-31,410.6255187988281
2023-08-01,409.83197021484375
2023-08-02,405.6877746582031
2023-08-03,402.1167297363281
2023-08-04,401.14678955078125
2023-08-07,401.1027526855469
2023-08-08,398.8543395996094
2023-08-09,404.4092712402344
2023-08-10,398.3252868652344
2023-08-11,395.6800537109375
2023-08-14,396.07684326171875
2023-08-16,397.0026550292969
2023-08-17,388.84661865234375
2023-08-18,389.41973876953125
2023-08-21,394.8423767089844
2023-08-22,400.52960205078125
2023-08-23,397.17901611328125
2023-08-24,397.5758056640625
2023-08-25,390.918701171875
2023-08-28,389.1992492675781
2023-08-29,388.0530090332031
2023-08-30,390.4337158203125
2023-08-31,387.7003479003906
2023-09-01,388.8906555175781
2023-09-04,385.7605285644531
2023-09-05,390.6982727050781
2023-09-06,394.5337829589844
2023-09-07,393.1671447753906
2023-09-08,390.3014831542969
2023-09-11,394.3133544921875
2023-09-12,397.7962341308594
2023-09-13,399.8683166503906
2023-09-14,396.7381286621094
2023-09-15,395.3273620605469
2023-09-18,398.5897521972656
2023-09-20,399.38336181640625
2023-09-21,394.577880859375
2023-09-22,390.6982727050781
2023-09-25,390.25738525390625
2023-09-26,390.1251220703125
2023-09-27,396.0327453613281
2023-09-28,388.6261901855469
2023-09-29,391.844482421875
2023-10-03,387.74444580078125
2023-10-04,384.52606201171875
2023-10-05,384.4819641113281
2023-10-06,389.86053466796875
2023-10-09,388.36163330078125
2023-10-10,391.844482421875
2023-10-11,395.2392272949219
2023-10-12,397.3994140625
2023-10-13,395.3273620605469
2023-10-16,395.8564453125
2023-10-17,399.8242492675781
2023-10-18,398.23712158203125
2023-10-19,397.1349792480469
2023-10-20,386.46588134765625
2023-10-23,384.3497009277344
2023-10-25,381.5281677246094
2023-10-26,382.9830322265625
2023-10-27,382.4539489746094
2023-10-30,379.54425048828125
2023-10-31,377.73663330078125
2023-11-01,377.4721984863281
2023-11-02,380.1614990234375
2023-11-03,382.01312255859375
2023-11-06,383.86474609375
2023-11-07,381.5281677246094
2023-11-08,385.2755432128906
2023-11-09,383.0271301269531
2023-11-10,384.9228515625
2023-11-13,384.4378967285156
2023-11-15,389.6842346191406
2023-11-16,386.7745056152344
2023-11-17,387.3034973144531
2023-11-20,385.14324951171875
2023-11-21,384.6583557128906
2023-11-22,387.7003479003906
2023-11-23,388.2734375
2023-11-24,386.0250549316406
2023-11-28,383.7765808105469
2023-11-29,385.4959716796875
2023-11-30,384.2615051269531
2023-12-01,396.6058349609375
2023-12-04,400.353271484375
2023-12-05,398.3252868652344
2023-12-06,408.46527099609375
2023-12-07,403.92431640625
2023-12-08,396.0327453613281
2023-12-11,398.9424743652344
2023-12-12,399.5156555175781
2023-12-13,401.7640686035156
2023-12-14,405.6877746582031
2023-12-15,404.012451171875
2023-12-18,398.23712158203125
2023-12-19,402.1607971191406
2023-12-20,397.66400146484375
2023-12-21,398.0607604980469
2023-12-22,401.3673095703125
2023-12-26,402.4694519042969
2023-12-27,403.0426025390625
2023-12-28,409.2147521972656
2023-12-29,407.4512939453125
2024-01-01,412.69757080078125
2024-01-02,414.7256164550781
2024-01-03,420.8096008300781
2024-01-04,420.06011962890625
2024-01-05,417.89990234375
2024-01-08,410.44921875
2024-01-09,409.61151123046875
2024-01-10,408.50933837890625
2024-01-11,407.93621826171875
2024-01-12,411.5072326660156
2024-01-15,412.30084228515625
2024-01-16,416.4449768066406
2024-01-17,411.4190673828125
2024-01-18,410.44921875
2024-01-19,415.7395935058594
2024-01-23,404.9823913574219
2024-01-24,408.7738952636719
2024-01-25,401.7640686035156
2024-01-29,396.6058349609375
2024-01-30,386.24542236328125
2024-01-31,389.33154296875
2024-02-01,390.5218811035156
2024-02-02,388.0530090332031
2024-02-05,386.24542236328125
2024-02-06,380.3819274902344
2024-02-07,380.7345886230469
2024-02-08,371.10296630859375
2024-02-09,371.953369140625
2024-02-12,364.2099609375
2024-02-13,364.12042236328125
2024-02-14,368.4173583984375
2024-02-15,361.5691223144531
2024-02-16,362.1957702636719
2024-02-19,366.3583679199219
2024-02-20,363.53857421875
2024-02-21,361.0767822265625
2024-02-22,371.013427734375
2024-02-23,368.2830505371094
2024-02-26,366.31365966796875
2024-02-27,368.05926513671875
2024-02-28,365.50799560546875
2024-02-29,363.71759033203125
2024-03-01,366.5821838378906
2024-03-04,366.22412109375
2024-03-05,363.58331298828125
2024-03-06,365.1051330566406
2024-03-07,370.207763671875
2024-03-11,366.4927062988281
2024-03-12,362.06146240234375
2024-03-13,378.1749572753906
2024-03-14,375.6684265136719
2024-03-15,375.1760559082031
2024-03-18,373.6990051269531
2024-03-19,366.6269836425781
2024-03-20,372.1324157714844
2024-03-21,377.1007385253906
2024-03-22,383.680419921875
2024-03-26,382.8299865722656
2024-03-27,383.143310546875
2024-03-28,383.4566345214844
2024-04-01,381.97955322265625
2024-04-02,381.2186279296875
2024-04-03,380.63677978515625
2024-04-04,378.44354248046875
2024-04-05,382.740478515625
2024-04-08,384.1280212402344
2024-04-09,381.666259765625
2024-04-10,391.1553039550781
2024-04-12,385.023193359375
2024-04-15,381.2633972167969
2024-04-16,381.2633972167969
2024-04-18,374.9522705078125
2024-04-19,380.2339172363281
2024-04-22,380.7262878417969
2024-04-23,384.2175598144531
2024-04-24,383.948974609375
2024-04-25,391.6924133300781
2024-04-26,393.8856201171875
2024-04-29,392.2743225097656
2024-04-30,389.9915466308594
2024-05-02,392.9904479980469
2024-05-03,390.70770263671875
2024-05-06,389.1858825683594
2024-05-07,394.1989440917969
2024-05-08,394.7808532714844
2024-05-09,380.5472412109375
2024-05-10,387.9325866699219
2024-05-13,386.5898132324219
2024-05-14,384.6651306152344
2024-05-15,382.9642639160156
2024-05-16,386.2317199707031
2024-05-17,390.5734558105469
2024-05-21,389.2306213378906
2024-05-22,393.7961730957031
2024-05-23,395.0941467285156
2024-05-24,390.48388671875
2024-05-27,386.2765197753906
2024-05-28,384.03851318359375
2024-05-29,385.78411865234375
2024-05-30,379.4282531738281
2024-05-31,381.7557373046875
2024-06-03,385.24700927734375
2024-06-04,378.5358581542969
2024-06-05,392.302490234375
2024-06-06,396.9521179199219
2024-06-07,400.3710021972656
2024-06-10,398.3196716308594
