Date,SBILIFE.NS
2023-05-29,1211.92138671875
2023-05-30,1209.7325439453125
2023-05-31,1228.735595703125
2023-06-01,1201.623779296875
2023-06-02,1196.4005126953125
2023-06-05,1209.235107421875
2023-06-06,1216.7965087890625
2023-06-07,1239.48095703125
2023-06-08,1232.6158447265625
2023-06-09,1226.1488037109375
2023-06-12,1232.6158447265625
2023-06-13,1236.99365234375
2023-06-14,1235.99853515625
2023-06-15,1234.8046875
2023-06-16,1274.8505859375
2023-06-19,1274.0048828125
2023-06-20,1288.779541015625
2023-06-21,1288.381591796875
2023-06-22,1270.025146484375
2023-06-23,1256.295166015625
2023-06-26,1259.926513671875
2023-06-27,1279.875
2023-06-28,1293.3065185546875
2023-06-30,1300.27099609375
2023-07-03,1291.3663330078125
2023-07-04,1282.71044921875
2023-07-05,1284.998779296875
2023-07-06,1286.3916015625
2023-07-07,1287.4364013671875
2023-07-10,1286.739990234375
2023-07-11,1288.4312744140625
2023-07-12,1294.0029296875
2023-07-13,1307.2850341796875
2023-07-14,1313.60302734375
2023-07-17,1307.8323974609375
2023-07-18,1307.8822021484375
2023-07-19,1303.802978515625
2023-07-20,1307.384765625
2023-07-21,1284.153076171875
2023-07-24,1310.468994140625
2023-07-25,1294.5003662109375
2023-07-26,1286.09326171875
2023-07-27,1289.9237060546875
2023-07-28,1283.2080078125
2023-07-31,1275.646484375
2023-08-01,1273.45751953125
2023-08-02,1255.847412109375
2023-08-03,1247.3905029296875
2023-08-04,1261.4688720703125
2023-08-07,1295.9429931640625
2023-08-08,1342.5054931640625
2023-08-09,1342.5054931640625
2023-08-10,1327.581787109375
2023-08-11,1304.8475341796875
2023-08-14,1290.5206298828125
2023-08-16,1284.7501220703125
2023-08-17,1277.9346923828125
2023-08-18,1275.9449462890625
2023-08-21,1272.0648193359375
2023-08-22,1280.2232666015625
2023-08-23,1293.6546630859375
2023-08-24,1287.1876220703125
2023-08-25,1289.8240966796875
2023-08-28,1284.998779296875
2023-08-29,1290.6201171875
2023-08-30,1294.0029296875
2023-08-31,1285.9937744140625
2023-09-01,1313.851806640625
2023-09-04,1321.6121826171875
2023-09-05,1302.807861328125
2023-09-06,1313.1055908203125
2023-09-07,1340.6649169921875
2023-09-08,1334.6456298828125
2023-09-11,1343.3016357421875
2023-09-12,1339.670166015625
2023-09-13,1338.6751708984375
2023-09-14,1345.8883056640625
2023-09-15,1365.6875
2023-09-18,1366.7320556640625
2023-09-20,1338.3765869140625
2023-09-21,1327.432373046875
2023-09-22,1312.1602783203125
2023-09-25,1287.5855712890625
2023-09-26,1283.158203125
2023-09-27,1294.40087890625
2023-09-28,1282.8597412109375
2023-09-29,1298.778564453125
2023-10-03,1285.8941650390625
2023-10-04,1264.10546875
2023-10-05,1267.9854736328125
2023-10-06,1276.4423828125
2023-10-09,1270.7713623046875
2023-10-10,1295.445556640625
2023-10-11,1302.70849609375
2023-10-12,1306.9866943359375
2023-10-13,1309.7724609375
2023-10-16,1315.4932861328125
2023-10-17,1341.5107421875
2023-10-18,1349.4700927734375
2023-10-19,1341.311767578125
2023-10-20,1355.7381591796875
2023-10-23,1331.611328125
2023-10-25,1307.4842529296875
2023-10-26,1298.9775390625
2023-10-27,1296.2911376953125
2023-10-30,1319.4730224609375
2023-10-31,1360.9117431640625
2023-11-01,1329.2730712890625
2023-11-02,1336.685302734375
2023-11-03,1322.6070556640625
2023-11-06,1325.0943603515625
2023-11-07,1334.048828125
2023-11-08,1338.6751708984375
2023-11-09,1343.8486328125
2023-11-10,1348.5250244140625
2023-11-13,1321.6121826171875
2023-11-15,1350.21630859375
2023-11-16,1353.0517578125
2023-11-17,1406.77783203125
2023-11-20,1378.2733154296875
2023-11-21,1416.4287109375
2023-11-22,1422.8460693359375
2023-11-23,1403.7930908203125
2023-11-24,1402.5494384765625
2023-11-28,1405.285400390625
2023-11-29,1400.7088623046875
2023-11-30,1427.969970703125
2023-12-01,1416.4287109375
2023-12-04,1446.624755859375
2023-12-05,1453.53955078125
2023-12-06,1443.3414306640625
2023-12-07,1448.365966796875
2023-12-08,1457.7679443359375
2023-12-11,1453.1912841796875
2023-12-12,1473.935546875
2023-12-13,1459.3599853515625
2023-12-14,1462.3944091796875
2023-12-15,1445.13232421875
2023-12-18,1439.6104736328125
2023-12-19,1417.32421875
2023-12-20,1402.1016845703125
2023-12-21,1396.6297607421875
2023-12-22,1387.2276611328125
2023-12-26,1388.2225341796875
2023-12-27,1414.140380859375
2023-12-28,1428.019775390625
2023-12-29,1425.333251953125
2024-01-01,1424.8359375
2024-01-02,1430.357666015625
2024-01-03,1415.4835205078125
2024-01-04,1424.33837890625
2024-01-05,1446.774169921875
2024-01-08,1413.842041015625
2024-01-09,1441.998291015625
2024-01-10,1444.087646484375
2024-01-11,1420.557861328125
2024-01-12,1428.019775390625
2024-01-15,1422.79638671875
2024-01-16,1401.654052734375
2024-01-17,1413.94140625
2024-01-18,1397.77392578125
2024-01-19,1433.292724609375
2024-01-23,1368.5228271484375
2024-01-24,1403.395263671875
2024-01-25,1373.8955078125
2024-01-29,1411.205322265625
2024-01-30,1391.90380859375
2024-01-31,1394.0428466796875
2024-02-01,1425.482666015625
2024-02-02,1428.1689453125
2024-02-05,1412.64794921875
2024-02-06,1456.5740966796875
2024-02-07,1461.996337890625
2024-02-08,1451.649169921875
2024-02-09,1432.397216796875
2024-02-12,1428.7161865234375
2024-02-13,1460.15576171875
2024-02-14,1446.326416015625
2024-02-15,1445.9781494140625
2024-02-16,1500.7984619140625
2024-02-19,1481.2979736328125
2024-02-20,1505.8726806640625
2024-02-21,1494.0828857421875
2024-02-22,1501.9925537109375
2024-02-23,1521.3935546875
2024-02-26,1541.2921142578125
2024-02-27,1534.8748779296875
2024-02-28,1532.387451171875
2024-02-29,1544.6749267578125
2024-03-01,1534.3277587890625
2024-03-04,1510.25048828125
2024-03-05,1483.6859130859375
2024-03-06,1512.6881103515625
2024-03-07,1502.7386474609375
2024-03-11,1524.32861328125
2024-03-12,1508.7083740234375
2024-03-13,1479.8056640625
2024-03-14,1498.2117919921875
2024-03-15,1495.0721435546875
2024-03-18,1484.805908203125
2024-03-19,1456.549072265625
2024-03-20,1453.6087646484375
2024-03-21,1463.2271728515625
2024-03-22,1496.1685791015625
2024-03-26,1481.5169677734375
2024-03-27,1474.6893310546875
2024-03-28,1495.3212890625
2024-04-01,1485.0550537109375
2024-04-02,1465.768798828125
2024-04-03,1456.0009765625
2024-04-04,1458.9412841796875
2024-04-05,1480.4205322265625
2024-04-08,1513.8104248046875
2024-04-09,1505.587646484375
2024-04-10,1498.4111328125
2024-04-12,1488.2447509765625
2024-04-15,1462.0809326171875
2024-04-16,1457.944580078125
2024-04-18,1452.16357421875
2024-04-19,1442.7945556640625
2024-04-22,1470.5531005859375
2024-04-23,1465.021240234375
2024-04-24,1455.2535400390625
2024-04-25,1439.70458984375
2024-04-26,1410.6005859375
2024-04-29,1417.67724609375
2024-04-30,1431.83056640625
2024-05-02,1456.1005859375
2024-05-03,1438.508544921875
2024-05-06,1435.8673095703125
2024-05-07,1445.385986328125
2024-05-08,1422.0628662109375
2024-05-09,1417.7271728515625
2024-05-10,1427.2457275390625
2024-05-13,1420.418212890625
2024-05-14,1428.1427001953125
2024-05-15,1425.40185546875
2024-05-16,1447.42919921875
2024-05-17,1429.48828125
2024-05-21,1424.953369140625
2024-05-22,1422.710693359375
2024-05-23,1442.0469970703125
2024-05-24,1431.5316162109375
2024-05-27,1405.567138671875
2024-05-28,1445.98388671875
2024-05-29,1408.15869140625
2024-05-30,1375.516357421875
2024-05-31,1381.845458984375
2024-06-03,1386.9285888671875
2024-06-04,1334.4515380859375
2024-06-05,1385.533203125
2024-06-06,1438.10986328125
2024-06-07,1421.165771484375
2024-06-10,1427.5947265625
2024-06-11,1423.358642578125
2024-06-12,1447.927490234375
2024-06-13,1445.1368408203125
2024-06-14,1465.071044921875
2024-06-18,1468.709228515625
2024-06-19,1444.4390869140625
2024-06-20,1450.71826171875
2024-06-21,1459.3399658203125
2024-06-24,1447.9774169921875
2024-06-25,1457.197021484375
2024-06-26,1446.133544921875
2024-06-27,1458.6422119140625
2024-06-28,1487.048583984375
2024-07-01,1496.916015625
2024-07-02,1489.9888916015625
2024-07-03,1491.4342041015625
2024-07-04,1502.796630859375
2024-07-05,1524.3756103515625
2024-07-08,1509.9730224609375
2024-07-09,1519.7408447265625
2024-07-10,1553.6790771484375
2024-07-11,1553.6790771484375
2024-07-12,1557.7156982421875
2024-07-15,1608.1494140625
2024-07-16,1616.0235595703125
2024-07-18,1654.34716796875
2024-07-19,1642.286865234375
2024-07-22,1615.82421875
2024-07-23,1589.610595703125
2024-07-24,1627.5853271484375
2024-07-25,1689.8302001953125
