Date,ADANIPORTS.NS
2023-06-05,727.1932983398438
2023-06-06,733.6896362304688
2023-06-07,732.0655517578125
2023-06-08,724.8310546875
2023-06-09,723.4038696289062
2023-06-12,730.44140625
2023-06-13,726.2581787109375
2023-06-14,727.734619140625
2023-06-15,727.88232421875
2023-06-16,735.6582641601562
2023-06-19,724.0928344726562
2023-06-20,726.208984375
2023-06-21,737.6759643554688
2023-06-22,733.886474609375
2023-06-23,703.0781860351562
2023-06-26,713.01953125
2023-06-27,708.9347534179688
2023-06-28,744.615234375
2023-06-30,727.63623046875
2023-07-03,725.8153076171875
2023-07-04,730.0477294921875
2023-07-05,731.0812377929688
2023-07-06,728.4237060546875
2023-07-07,707.4091186523438
2023-07-10,708.7870483398438
2023-07-11,718.4331665039062
2023-07-12,712.8226928710938
2023-07-13,705.9326782226562
2023-07-14,714.6928100585938
2023-07-17,719.5650634765625
2023-07-18,716.7106323242188
2023-07-19,719.9095458984375
2023-07-20,720.9430541992188
2023-07-21,717.0059814453125
2023-07-24,723.7482299804688
2023-07-25,737.4791259765625
2023-07-26,740.8257446289062
2023-07-27,736.9869995117188
2023-07-28,748.828369140625
2023-07-31,770.7769165039062
2023-08-01,758.3905639648438
2023-08-02,754.5260620117188
2023-08-03,766.3178100585938
2023-08-04,768.2005615234375
2023-08-07,784.2037353515625
2023-08-08,777.0692138671875
2023-08-09,783.9064331054688
2023-08-10,795.5000610351562
2023-08-11,793.7659301757812
2023-08-14,779.9923706054688
2023-08-16,769.0428466796875
2023-08-17,802.2877807617188
2023-08-18,828.299072265625
2023-08-21,850.3468017578125
2023-08-22,846.7299194335938
2023-08-23,818.1918334960938
2023-08-24,814.872314453125
2023-08-25,799.2655029296875
2023-08-28,800.1077880859375
2023-08-29,816.0614013671875
2023-08-30,811.2554931640625
2023-08-31,784.9964599609375
2023-09-01,792.2300415039062
2023-09-04,793.7659301757812
2023-09-05,797.6304931640625
2023-09-06,799.7113647460938
2023-09-07,802.5355224609375
2023-09-08,817.4981689453125
2023-09-11,874.4258422851562
2023-09-12,850.9413452148438
2023-09-13,841.9735717773438
2023-09-14,842.0726318359375
2023-09-15,837.96044921875
2023-09-18,823.69140625
2023-09-20,810.611328125
2023-09-21,823.5426635742188
2023-09-22,819.529541015625
2023-09-25,818.142333984375
2023-09-26,813.8814086914062
2023-09-27,823.1463623046875
2023-09-28,815.6154174804688
2023-09-29,817.6468505859375
2023-10-03,823.8400268554688
2023-10-04,817.101806640625
2023-10-05,817.6964111328125
2023-10-06,823.1959228515625
2023-10-09,782.865966796875
2023-10-10,812.0482177734375
2023-10-11,807.4404296875
2023-10-12,807.53955078125
2023-10-13,806.3504638671875
2023-10-16,798.3241577148438
2023-10-17,797.7791137695312
2023-10-18,791.3382568359375
2023-10-19,785.6405029296875
2023-10-20,786.4332885742188
2023-10-23,764.4351196289062
2023-10-25,762.1065063476562
2023-10-26,763.3450927734375
2023-10-27,775.2855834960938
2023-10-30,777.8619384765625
2023-10-31,777.6141357421875
2023-11-01,762.1065063476562
2023-11-02,767.2592163085938
2023-11-03,788.1673583984375
2023-11-06,795.2027587890625
2023-11-07,790.2977294921875
